model_name,threshold,net_benefit,standardized_net_benefit,tp,fp,tn,fn,predicted_positive,predicted_negative
Image stronger_lr_v3,0.47000000000000003,0.15605089951733217,0.34446553794893653,346,201,387,141,547,528
Image stronger_lr_v3,0.48000000000000004,0.14769230769230768,0.3260148475754225,336,192,396,151,528,547
Image stronger_lr_v3,0.49,0.14163246694026452,0.3126384023835408,330,185,403,157,515,560
Image stronger_lr_v3,0.5,0.13116279069767445,0.2895277207392198,321,180,408,166,501,574
Image stronger_lr_v3,0.51,0.12176554342667295,0.26878431043875445,312,174,414,175,486,589
Image stronger_lr_v3,0.52,0.11829457364341084,0.26112251882272414,307,166,422,180,473,602
Image stronger_lr_v3,0.53,0.11519049975259771,0.254270610336843,302,158,430,185,460,615
Image stronger_lr_v3,0.54,0.10641051567239632,0.23488974198732246,294,153,435,193,447,628
Image stronger_lr_v3,0.55,0.09850129198966406,0.217430983344741,288,149,439,199,437,638
Image stronger_lr_v3,0.56,0.09556025369978854,0.21093895837222318,286,144,444,201,430,645
Image stronger_lr_v3,0.5700000000000001,0.09460248783126007,0.20882479346736055,278,133,455,209,411,664
Image stronger_lr_v3,0.5800000000000001,0.08881506090808414,0.19604967243570934,275,130,458,212,405,670
Image stronger_lr_v3,0.59,0.083425978445831,0.1841538538588672,271,126,462,216,397,678
Image stronger_lr_v3,0.6,0.07953488372093023,0.175564681724846,267,121,467,220,388,687
Image stronger_lr_v3,0.61,0.07401311866428145,0.1633759806244406,261,116,472,226,377,698
Image stronger_lr_v3,0.62,0.076328029375765,0.16848589646601103,255,106,482,232,361,714
Image stronger_lr_v3,0.63,0.06979258328095536,0.15405960375159553,247,101,487,240,348,727
Image stronger_lr_v3,0.64,0.06656330749354003,0.1469313255760894,244,97,491,243,341,734
Image stronger_lr_v3,0.65,0.07641196013289034,0.16867116456438833,240,85,503,247,325,750
Image stronger_lr_v3,0.66,0.06774281805745552,0.14953496799130325,232,82,506,255,314,761
Image stronger_lr_v3,0.67,0.06102889358703312,0.13471470350320452,226,79,509,261,305,770
Image stronger_lr_v3,0.68,0.06325581395348834,0.1396303901437371,221,72,516,266,293,782
Image stronger_lr_v3,0.6900000000000001,0.06448612153038255,0.14234616148903748,214,65,523,273,279,796
Image stronger_lr_v3,0.7000000000000001,0.06511627906976741,0.14373716632443526,210,60,528,277,270,805
Image stronger_lr_v3,0.7100000000000001,0.061812349639133846,0.13644409827940224,206,57,531,281,263,812
Image stronger_lr_v3,0.72,0.06166112956810632,0.13611029627456733,200,52,536,287,252,823
Image stronger_lr_v3,0.73,0.05219638242894059,0.11521788729180932,194,51,537,293,245,830
Image stronger_lr_v3,0.74,0.040500894454382846,0.08940135839519828,183,49,539,304,232,843
Image stronger_lr_v3,0.75,0.03348837209302327,0.07392197125256678,174,46,542,313,220,855
Image stronger_lr_v3,0.76,0.03643410852713176,0.08042436687200544,169,41,547,318,210,865
